outcome_id,outcome_description,outcome_type,typical_timeline_months,financial_implications,appeal_possible,enforcement_mechanism,precedent_cases,embedding_text
OUT_019,Consumer Forum Awards Compensation and Replacement,Favorable,8,Compensation plus cost of replacement or service; up to Rs 1 crore in cases,Yes - Before National Commission,Forum Order Enforcement; Attachment of bank account,Lucknow Development Authority v. M.K. Gupta 1994; Indian Medical Association v. V.P. Shantha 1996,Consumer forum compensation replacement defective product service deficiency
OUT_020,Consumer Complaint Dismissed,Unfavorable,8,Legal costs may be imposed,Yes,None,Spring Meadows Hospital v. Harjol Ahluwalia 1998,Consumer complaint dismissed no deficiency proved
OUT_021,FIR Quashed by High Court,Favorable,6,Legal costs of quashing petition; no further prosecution,No,None,State of Haryana v. Bhajan Lal 1992; Gian Singh v. State of Punjab 2012,FIR quashed high court CrPC 482 criminal proceedings ended
OUT_022,Cheque Bounce Case - Conviction and Compensation,Favorable,15,Cheque amount plus 2x compensation; fine may be imposed,Yes,Prison authorities for imprisonment; Court for fine,Damodar S. Prabhu v. Sayed Babalal H. 2010; Meters and Instruments v. Kanchan Mehta 2018,Cheque bounce conviction compensation NI Act 138 dishonored payment
OUT_023,Cheque Bounce Case Acquittal,Unfavorable,15,Legal costs; cheque amount remains unpaid,Yes,None,Krishna Janardhan Bhat v. Dattatraya G. Hegde 2008,Cheque bounce acquittal accused innocent NI Act 138
OUT_024,Property Partition Decree,Favorable,36,Survey and partition costs; stamp duty on new titles,Yes,Court Commissioner execution,S.B. Noronha v. Prem Kumari Khanna 2001; Rohit Chauhan v. Surinder Singh 2013,Property partition decree co-owners shares division family
OUT_025,Settlement Through Lok Adalat,Favorable,1,No court fee; settlement amount paid by parties; binding,No - No appeal,Parties' mutual compliance,Afcons Infrastructure v. Cherian Varkey Construction 2010,Lok Adalat settlement amicable resolution binding award
OUT_026,Mediation Settlement Agreement,Favorable,3,Settlement amount as agreed; each party bears own cost,No,Consent Decree Execution,M/S Malibu Hotels Ltd v. State of Himachal Pradesh 2018,Mediation settlement agreement parties mutual resolution
OUT_027,Arbitration Award in Favour of Claimant,Favorable,18,Awarded amount plus costs; executeable like court decree,Yes - Limited grounds under Sec 34,Civil Court Execution,BCCI v. Kochi Cricket Pvt Ltd 2018; Associate Builders v. Delhi Development Authority 2014,Arbitration award claimant favorable ADR enforcement
OUT_028,Arbitration Award Against Claimant,Unfavorable,18,May pay costs to opposite party,Yes - Limited grounds,None,ONG Corporation v. Saw Pipes Ltd 2003,Arbitration award against claimant respondent wins ADR
OUT_029,Criminal Conviction for Domestic Violence / 498A,Favorable,30,Fine and compensation to victim; husband may lose job,Yes,Jail authority; Court fine collection,Arnesh Kumar v. State of Bihar 2014; Sushil Kumar Sharma v. UOI 2005,Domestic violence conviction 498A cruelty husband sentenced
OUT_030,Acquittal in 498A / Domestic Cruelty Case,Unfavorable,30,Legal costs; accused free,Yes - State can appeal,None,Preeti Gupta v. State of Jharkhand 2010,Acquittal 498A domestic cruelty case accused free
OUT_031,RTI Information Disclosed,Favorable,1,Minimal cost to applicant,Yes - First appeal then CIC,PIO may face penalty,Central Board of Secondary Education v. Aditya Bandopadhyay 2011,RTI information disclosed transparency accountability
OUT_032,RTI Rejected on Exemption Grounds,Unfavorable,1,Applicant bears own cost,Yes,None,Girish Ramchandra Deshpande v. Central Information Commissioner 2013,RTI rejected exemption national security personal privacy
OUT_033,Writ Petition Allowed - Direction to Authority,Favorable,12,Legal costs recovered in some cases,No (on merits),Contempt of Court,Maneka Gandhi v. Union of India 1978; Vishaka v. State of Rajasthan 1997,Writ petition allowed fundamental rights direction authority
OUT_034,Writ Petition Dismissed,Unfavorable,12,Legal costs may be imposed,Yes - Supreme Court,None,ADM Jabalpur v. Shivakant Shukla 1976,Writ petition dismissed no merit fundamental rights
OUT_035,Habeas Corpus Petition - Person Released,Favorable,1,Legal costs; compensation in some cases,No,None,D.K. Basu v. State of West Bengal 1997; Rudul Shah v. State of Bihar 1983,Habeas corpus person released illegal detention custody
OUT_036,Defamation Case - Damages Awarded,Favorable,24,Damages amount plus costs; injunction against further publication,Yes,Civil court execution,Subramanian Swamy v. Union of India 2016; Ram Jethmalani v. Subramaniam Swamy 2006,Defamation damages awarded plaintiff reputation vindicated
OUT_037,Defamation Case Dismissed,Unfavorable,24,Legal costs; reputation harm continues,Yes,None,R. Rajagopal v. State of Tamil Nadu 1994,Defamation dismissed truth justification defence proved
OUT_038,Forgery Case - Conviction,Favorable,24,Fine imposed; document declared void; property restored,Yes,Jail authority; Court fine,Sunil Clifford Daniel v. State of Punjab 2012,Forgery conviction document fraud punishment imprisonment
OUT_039,Employment Dispute - Reinstatement Ordered,Favorable,18,Back wages from date of termination; reinstatement in original position,Yes,Labour Court enforcement; contempt,Deepali Gundu Surwase v. Kranti Junior Adhyapak 2013; Hindustan Tin Works v. Employees 1979,Reinstatement ordered wrongful termination employment back wages
OUT_040,Employment Dispute - Compensation in Lieu of Reinstatement,Favorable,18,Lump sum compensation calculated on last drawn salary,Yes,Labour Court execution,Hindustan Motors Ltd v. Tapan Kumar Das 2002,Compensation lieu reinstatement wrongful termination employment
OUT_041,Employment Termination Upheld,Unfavorable,18,Employee receives only statutory dues if any,Yes,None,Delhi Transport Corporation v. DTC Mazdoor Congress 1991,Termination upheld lawful dismissal employee misconduct
OUT_042,Succession Certificate Granted,Favorable,6,Inheritance of debts and securities; enables bank claims,Yes,Civil court order,Gopal Singh Visharad v. Ujagar Singh 1951,Succession certificate legal heir inheritance assets
OUT_043,Probate Granted,Favorable,9,Estate administration; executor can act,Yes,Probate Court execution,Laxmibai v. Bhagwantbuva 2013,Probate granted will executor estate administration
OUT_044,Will Declared Invalid,Unfavorable,18,Estate distributed per intestate succession laws,Yes,None,H. Venkatachala Iyengar v. B.N. Thimmajamma 1959,Will invalid testamentary capacity fraud undue influence
OUT_045,RERA - Possession Ordered with Compensation,Favorable,6,Penalty on builder; compensation for delay; possession,Yes,RERA Enforcement,Forum for People's Collective Efforts v. State of West Bengal 2021,RERA possession ordered builder penalty compensation delay
OUT_046,Motor Accident Tribunal - Compensation Granted,Favorable,18,Compensation for injury death or disability; insurance pays,Yes,MACT execution; Insurance company attachment,National Insurance Co. v. Pranay Sethi 2017; Sarla Verma v. Delhi Transport Corp 2009,Motor accident compensation tribunal injury death insurance payment
OUT_047,Criminal Intimidation - Conviction,Favorable,12,Fine and imprisonment; restraining order may follow,Yes,Jail authority; Police,Manoj v. State of MP 2014,Criminal intimidation conviction threat blackmail imprisonment
OUT_048,Rape / Sexual Assault - Conviction,Favorable,24,Minimum 10 years imprisonment; compensation to victim,Yes,Jail authority; State compensation fund,Tukaram v. State of Maharashtra 1978; Nirbhaya Case State v. Mukesh 2017,Rape conviction sexual assault imprisonment victim compensation
OUT_049,Acid Attack - Conviction and Victim Compensation,Favorable,24,Minimum 10 years imprisonment; government compensation Rs 3 lakh+,Yes,Jail authority; Collector for compensation,Parivartan Kendra v. Union of India 2015; Laxmi v. Union of India 2014,Acid attack conviction victim compensation government rehabilitation
OUT_050,Kidnapping / Ransom Case - Conviction,Favorable,30,Life imprisonment or death; forfeiture of ransom,Yes,Jail authority,Bhoop Ram v. State of UP 1989,Kidnapping ransom conviction life imprisonment victim rescue
OUT_051,Murder Case - Death Penalty,Favorable,60,Capital punishment; compensation to victim's family possible,Yes - Mandatory appeal to HC and SC,Jail authority; Execution,Bachan Singh v. State of Punjab 1980; Machhi Singh v. State of Punjab 1983,Murder death penalty conviction capital punishment rarest of rare
OUT_052,Murder Case - Life Imprisonment,Favorable,60,Life imprisonment; compensation to victim's family,Yes,Jail authority,Swamy Shraddananda v. State of Karnataka 2008,Murder life imprisonment conviction jail criminal case
OUT_053,Theft Case - Conviction and Recovery of Property,Favorable,12,Fine; recovery and return of stolen property to owner,Yes,Jail authority; Property release order,State of Maharashtra v. Krishan 2004,Theft conviction recovery property stolen restitution
OUT_054,Cheating / Fraud - Conviction,Favorable,18,Fine; compensation to defrauded party; imprisonment,Yes,Jail authority; Court fine; Attachment for compensation,Hridaya Ranjan Prasad Verma v. State of Bihar 2000,Cheating fraud conviction imprisonment compensation IPC 420
OUT_055,Cheating Case - Acquittal,Unfavorable,18,Legal costs; financial loss unrecovered,Yes - State can appeal,None,S.W. Palanitkar v. State of Bihar 2002,Cheating acquittal accused free fraud not proved
OUT_056,Contempt of Court - Fine and Imprisonment,Favorable,3,Fine up to Rs 2000; imprisonment up to 6 months or both,Yes,Jail authority; Court,Mohd. Zahur Ahmad Siddiqui v. State of UP 1986,Contempt court fine imprisonment disobedience order
OUT_057,Property Suit - Specific Performance Decreed,Favorable,36,Property conveyed at agreed price; costs awarded,Yes,Court commissioner executes deed,Adcon Electronics v. Daulat and Anr 2001; Saradamani Kandappan v. S. Rajalakshmi 2011,Specific performance decreed property conveyance contract enforcement
OUT_058,Specific Performance Refused,Unfavorable,36,Damages in lieu; legal costs,Yes,None,Lourdu Mari David v. Louis Chinnaya Arogiaswamy 1996,Specific performance refused contract damages alternative
OUT_059,Defamation - Criminal Conviction,Favorable,18,Fine; imprisonment up to 2 years; apology in some cases,Yes,Jail authority; Court,Subramanian Swamy v. Union of India 2016; M.C. Mehta v. Ram Jethmalani 2009,Criminal defamation conviction punishment reputation injury IPC 500
OUT_060,Senior Citizen Maintenance - Monthly Amount Ordered,Favorable,3,Monthly maintenance up to Rs 10000; enforceable like revenue recovery,Yes,Revenue recovery; Property attachment,Sunny Paul v. State NCT Delhi 2014; Bharat Hari Singhania v. CIT 1994,Senior citizen maintenance monthly support children ordered
OUT_061,Company Wound Up / Liquidation,Unfavorable,36,Assets sold and distributed to creditors; shareholders lose investment,Yes,Official Liquidator; NCLT,Rajkumar Textiles v. SICOM 2012; Tata Finance Ltd v. Vikram Aggarwalla 2018,Company liquidation winding up creditors assets distributed
OUT_062,NCLT Resolution Plan Approved,Favorable,12,Business continues under new management; creditors recover partially,Yes,Resolution Professional; NCLT,Essar Steel India Ltd v. Satish Kumar Gupta 2020; Committee of Creditors of Essar Steel v. Satish Kumar Gupta 2019,NCLT resolution plan approved insolvency business continuation
OUT_063,Trademark Infringement Injunction and Damages,Favorable,18,Injunction against infringer; damages or account of profits; legal costs,Yes,Contempt; Court execution,Midas Hygiene Industries v. Sudhir Bhatia 2004; DM Entertainment v. Baby Gift House 2010,Trademark infringement injunction damages IP protection brand
OUT_064,Patent Infringement - Injunction and Royalties,Favorable,24,Injunction; damages; compulsory royalty,Yes,Court contempt; Execution,F. Hoffmann-La Roche v. Cipla Ltd 2009; Bayer Corp v. Union of India 2014,Patent infringement injunction royalties IP protection invention
OUT_065,Riot and Unlawful Assembly - Multiple Convictions,Favorable,18,Each member liable; property damage compensation; fine,Yes,Jail authority; Court fine collection,Re: Special Reference No. 1 of 2002 (Gujarat Riots); Mafatlal Industries v. Union of India 1997,Rioting conviction unlawful assembly mob violence punishment
OUT_066,False Evidence Case - Perjury Conviction,Favorable,24,Maximum 7 years imprisonment; fine,Yes,Jail authority,Zahira Habibulla H. Sheikh v. State of Gujarat 2006; Bhagwan Singh v. State of UP 1976,Perjury conviction false evidence lying court IPC 193
OUT_067,Election Offence - Conviction and Disqualification,Favorable,24,Fine and imprisonment; disqualified from contesting elections for 6 years,Yes,Jail authority; Election Commission,A.C. Jose v. Sivan Pillai 1984; Krishnamoorthy v. Sivakumar 2015,Election offence conviction disqualification bribery undue influence
OUT_068,Acid Attack - Government Compensation Granted,Favorable,3,Rs 3 lakh minimum from state government; medical aid,No,State Government / Collector,Laxmi v. Union of India 2014; Parivartan Kendra v. Union of India 2015,Acid attack government compensation victim rehabilitation support
OUT_069,Partition - Equal Shares Decreed to Co-Owners,Favorable,30,Property divided as per legal shares; mesne profits if applicable,Yes,Court Commissioner; Revenue officer,S.B. Noronha v. Prem Kumari Khanna 2001,Partition equal shares co-owners family property division
OUT_070,Income Tax Penalty and Demand Confirmed,Unfavorable,18,Full tax demand plus interest plus penalty up to 300%; prosecution possible,Yes,Income Tax Recovery; Attachment,CIT v. Kelvinator of India Ltd 2010; Vodafone International Holdings v. Union of India 2012,Income tax penalty demand confirmed assessment order
OUT_071,Labour Dispute - Reinstatement with Full Back Wages,Favorable,18,Back wages from date of termination to reinstatement order,Yes,Labour Court; Civil court enforcement,Hindustan Tin Works Pvt Ltd v. Employees 1979; Air India Ltd v. Rebellow 1984,Reinstatement full back wages labour dispute wrongful termination
OUT_072,Gratuity Claim Granted,Favorable,6,Gratuity amount as per formula under Gratuity Act; interest if delayed,Yes,Controlling Authority; Labour Court,Devli Coal Fields Ltd v. Smt. Neela Devi 2011,Gratuity claim granted employee retirement resignation
OUT_073,Motor Accident - High Compensation for Disability,Favorable,18,Lump sum based on percentage disability and income; future care costs,Yes,MACT; Insurance company,Raj Kumar v. Ajay Kumar 2011; Reshma Kumari v. Madan Mohan 2013,Motor accident high compensation permanent disability future loss
OUT_074,Consumer - Refund Plus Compensation Ordered,Favorable,8,Refund of price paid plus interest; compensation for mental agony; costs,Yes,Forum order execution; Bank attachment,V. Ravi Kumar v. Life Insurance Corporation of India 2003,Consumer refund compensation mental agony deficiency service
OUT_075,Workmen Compensation Awarded,Favorable,9,Lump sum based on wage and degree of disability; 50-60% of wages monthly,Yes,Commissioner; Civil court,P.A. Martin v. General Manager 1975; New India Assurance Co. v. C.G. Raju 2014,Workmen compensation awarded disability injury employment fatal
OUT_076,Foreign Judgment Enforced in India,Favorable,24,Foreign decree executed as domestic decree; reciprocal enforcement,Yes,Civil Court Execution,R.M.V. Ghosh v. Smith Kline Beecham 2004; Y. Narasimha Rao v. Y. Venkata Lakshmi 1991,Foreign judgment enforcement India reciprocal execution
OUT_077,Anticipatory Bail Rejected,Unfavorable,1,Accused may be arrested; custodial interrogation allowed,Yes - High Court or SC,None,Siddharam Satlingappa v. State of Maharashtra 2011; Bhadresh Bipinbhai Sheth v. State of Gujarat 2015,Anticipatory bail rejected arrest possible custodial interrogation
OUT_078,Cancellation of Sale Deed Decreed,Favorable,36,Original owner gets property back; purchaser refunded if bona fide,Yes,Court Commissioner; Registration cancellation,Suraj Lamp and Industries v. State of Haryana 2012,Sale deed cancelled fraud misrepresentation property restored
OUT_079,Child Adoption Order Granted,Favorable,12,Legal parent-child relationship; name change; inheritance rights,No - Res Judicata,Civil court execution,L.K. Pandey v. Union of India 1984; Centre for Child and Law v. State of Karnataka 2014,Adoption order granted child legal parent relationship family
OUT_080,Guardianship Order Granted,Favorable,6,Legal authority over minor's person or property; reportable to court,Yes,Family court enforcement; Police,Gaurav Nagpal v. Sumedha Nagpal 2009; Surinder Kaur Sandhu v. Harbax Singh Sandhu 1984,Guardianship order granted minor welfare protection legal authority
OUT_081,Dowry Death - Conviction Under 304B,Favorable,30,Minimum 7 years to life imprisonment; compensation to family,Yes,Jail authority,Shanti v. State of Haryana 1991; Aynul Haque v. State of West Bengal 2003,Dowry death conviction 304B IPC minimum 7 years family
OUT_082,Stalking Case - Conviction,Favorable,12,Up to 3 years first conviction; up to 5 years subsequent conviction; fine,Yes,Jail authority,Rupan Deol Bajaj v. K.P.S. Gill 1996; State of West Bengal v. Animesh Bosu 2016,Stalking conviction harassment woman protection IPC 354D
OUT_083,Sexual Harassment (POSH) - Termination and Compensation,Favorable,6,Accused terminated; compensation to complainant; adverse remarks in service record,Yes - Before High Court,Employer enforcement; Labour authority,Vishaka v. State of Rajasthan 1997; Medha Kotwal Lele v. Union of India 2013,Sexual harassment POSH termination compensation workplace protection
OUT_084,RERA - Refund with Interest Ordered,Favorable,6,Full refund plus 10.85% interest per annum; compensation for delay,Yes,RERA enforcement; Property attachment,Wg Cdr Arifur Rahman Khan v. DLF Southern Homes 2020; Imperia Structures Ltd v. Anil Patni 2020,RERA refund interest ordered builder cancellation home buyer
OUT_085,Cyber Crime - Account Frozen and Fraud Amount Recovered,Favorable,6,Frozen funds restored to victim; accused prosecuted,Yes,Police; Bank RBI directive,Pune Citibank Mphasis Call Centre Fraud 2005; State of Tamil Nadu v. Suhas Katti 2004,Cyber crime fraud recovered account frozen victim restitution
OUT_086,Case Dismissed for Limitation / Laches,Unfavorable,6,Case rejected; legal costs; right cannot be enforced,Yes,None,State of Rajasthan v. Rajendra Shankar Mehta 1983; Popat Bahiru Govardhane v. Special Land Acquisition Officer 2013,Case dismissed limitation period expired laches delay filing
OUT_087,Property Declared Benami - Confiscation,Favorable,24,Benami property confiscated by government; no compensation,Yes,Adjudicating Authority under Benami Act,Rajesh Sharma v. Union of India 2018; State Bank of India v. Rajendra Kumar Sadani 2019,Benami property declared confiscation government Benami Act
OUT_088,Dowry Harassment - Conviction Under 498A,Favorable,24,Up to 3 years imprisonment; fine; restraining order,Yes,Jail authority; Police,Sushil Kumar Sharma v. Union of India 2005; Arnesh Kumar v. State of Bihar 2014,Dowry harassment conviction 498A wife cruelty imprisonment
OUT_089,Cheating in Matrimonial Case (IPC 493) - Conviction,Favorable,24,Up to 10 years imprisonment; fine,Yes,Jail authority,Nand Lal v. State of Haryana 2004,Fraudulent marriage conviction IPC 493 deceit cohabitation punishment
OUT_090,Public Nuisance - Fine and Removal of Nuisance,Favorable,6,Fine up to Rs 200; nuisance to be removed; recurrence penalised,Yes,Municipality; Police,Municipal Council Ratlam v. Vardhichand 1980; M.C. Mehta v. Union of India 1987,Public nuisance fine removal environmental protection community
OUT_091,Kidnapping Case - Victim Recovered,Favorable,3,Accused punished; victim compensation; counseling,Yes,Jail authority; Police,Bhoop Ram v. State of UP 1989; Jay Narain v. State of UP 1973,Kidnapping victim recovered accused arrested punishment
OUT_092,Drug Trafficking Conviction,Favorable,24,Minimum 10 years to life imprisonment; heavy fine; property confiscation,Yes,Jail authority; NCB enforcement,Union of India v. Ram Samujh 1999; Durand Didier v. Chief Secy Union Territory of Goa 1990,Drug trafficking conviction NDPS heavy imprisonment fine confiscation
OUT_093,Defamation - Apology and Retraction Ordered,Favorable,12,Public apology; retraction published; damages if proved,Yes,Court; Contempt,Subramanian Swamy v. Union of India 2016,Defamation apology retraction ordered reputation restored
OUT_094,Environmental Violation - Closure and Penalty,Favorable,12,Factory closed; heavy fine; remediation costs; compensation,Yes,NGT Enforcement; Police,M.C. Mehta v. Union of India 1988; Vellore Citizens Welfare Forum v. Union of India 1996,Environmental violation NGT closure penalty pollution remediation
OUT_095,Forgery Conviction - Document Declared Void,Favorable,24,Forged document declared void; imprisonment; fine; property restored,Yes,Jail authority; Registration cancellation,Sunil Clifford Daniel v. State of Punjab 2012; Hiralal v. State of Haryana 2009,Forgery conviction document void IPC 465 property restored
OUT_096,Rape Case - Acquittal,Unfavorable,24,Accused free; victim may appeal; psychological harm,Yes,None,Tukaram v. State of Maharashtra 1978 (controversial); Mahmood Farooqui v. State (NCT Delhi) 2017,Rape acquittal accused free evidence insufficient victim harm
OUT_097,Debt Recovery Tribunal - Recovery Certificate Issued,Favorable,18,Recovery certificate enables attachment of debtor's assets; bank recovers dues,Yes,DRT; Police assistance,Bank of India v. Abhijit Industries 2000; ICICI Bank v. Grapco Industries 2001,DRT recovery certificate bank loan default attachment execution
OUT_098,Out of Court Settlement,Favorable,3,Mutually agreed terms; full or partial payment; no further litigation,No,Contractual enforcement,Various cases - negotiated resolutions,Settlement agreement out of court negotiation payment terms
OUT_099,Case Transferred to Different Court,Neutral,6,No final outcome; case continues in new court,No,None,Various transfer petitions,Transfer petition case different court jurisdiction change
OUT_100,Proceedings Stayed by Higher Court,Neutral,6,Lower court proceedings halted; parties wait; no final outcome pending,No,Higher court monitoring,Various stay orders,Stay granted proceedings suspended higher court intervention
